Tweets,len,ID,Date,Source,Likes,RTs
"A partnership powered by technology and innovation. 

President Moon Jae-in and I inaugurated @Samsung_IN’s new pro… https://t.co/QTux9X9m1i",140,1016344148314599424,2018-07-09 15:31:42,Twitter Web Client,6823,1984
On board the world-class Delhi Metro with President Moon Jae-in. We are headed to Noida...do not miss the iconic Ak… https://t.co/oiUYuhGvb4,140,1016281722990628864,2018-07-09 11:23:39,Twitter Web Client,26434,5720
India is proud of @DipaKarmakar! Congratulations to her on winning a well-deserved Gold in the vault event at the F… https://t.co/vDbEIrL9a3,140,1015940581976104961,2018-07-08 12:48:04,Twitter for Android,24673,5083
"Delighted to share that my personal website, https://t.co/onT7X5IJf7 now offers a faster, smoother and more interac… https://t.co/QDtMP9UVPc",140,1015771441533476864,2018-07-08 01:35:58,Twitter for Android,16241,3858
Here is the video of my speech at the public meeting in Jaipur. https://t.co/IomHJY5FSN https://t.co/PyPuuBPUh0,111,1015583191254609920,2018-07-07 13:07:56,Twitter Web Client,12098,2918
"चाहे स्वच्छ भारत मिशन हो या मुद्रा, उज्जवला हो या प्रधानमंत्री आवास योजना, राजस्थान के गरीब से गरीब तबकों को विकास… https://t.co/CrkJnDRuaq",139,1015582475609870339,2018-07-07 13:05:05,Media Studio,24886,4732
सॉइल हेल्थ कार्ड की योजना राजस्थान से ही शुरू हुई थी। आज ये भी बहुत सुखद संयोग है कि जब सरकार ने फसलों के न्यूनतम स… https://t.co/dODWYVmCaL,140,1015582063481774081,2018-07-07 13:03:27,Media Studio,11076,2735
"4 वर्ष पहले राजस्थान की स्थिति क्या थी, सब जानते हैं। निरंतर प्रयासों के बाद राजस्थान के विकास को गति मिली है। कें… https://t.co/QfgON3hFde",139,1015581988487655424,2018-07-07 13:03:09,Media Studio,10868,2496
"राजस्थान शक्ति, शौर्य और भक्ति की भूमि है। मैं राजस्थान के लोगों को उनके स्नेह के लिए धन्यवाद देता हूँ। https://t.co/kO4IXARiD9",127,1015581778336239618,2018-07-07 13:02:19,Media Studio,13928,3135
"Today's programme in Jaipur was special! 

Had the opportunity to interact with several beneficiaries of various sc… https://t.co/wTzVGavnbg",140,1015581594172772352,2018-07-07 13:01:35,Twitter Web Client,10373,2561
"Happy to have met my friend, PM @tsheringtobgay in New Delhi. We had extensive discussions on further increasing In… https://t.co/IPheVccWTd",140,1015227991478038528,2018-07-06 13:36:29,Twitter Web Client,11354,2209
"This morning, I addressed the Saurashtra Patel Cultural Samaj via video conferencing. Delighted to have connected w… https://t.co/YQWmOo2v6r",140,1015227109663338496,2018-07-06 13:32:59,Twitter Web Client,11854,2443
"Wonderfully written by @arunjaitley Ji, highlighting Dr. Syama Prasad Mookerjee's commitment towards a strong and u… https://t.co/dwyv0wqYG8",140,1015225867646013440,2018-07-06 13:28:03,Twitter Web Client,14078,3565
Sharing a picture of Dr. Syama Prasad Mookerjee with Dr. Babasaheb Ambedkar. Both were Ministerial colleagues and h… https://t.co/IAAqymm1z0,140,1015052839855542274,2018-07-06 02:00:30,Twitter Web Client,30722,6621
"On his Jayanti, I bow to Dr. Syama Prasad Mookerjee . 

Dr. Mookerjee is remembered as a fine educationist, a wonde… https://t.co/T7yQWyoOlG",140,1015051799739359233,2018-07-06 01:56:22,Media Studio,18316,4483
"Shared my message at the 4th edition of ‘Samvad.' The symposium, which is being held in Tokyo, has chosen the impor… https://t.co/uK2GwVuhfa",140,1014876838299144194,2018-07-05 14:21:08,Media Studio,12973,2917
"Birthday greetings to my valued colleague and one of India’s senior most leaders, Shri Ram Vilas Paswan Ji. A true… https://t.co/QWuBREKN15",139,1014701594041085953,2018-07-05 02:44:46,Twitter for iPhone,18881,3063
"A promise fulfilled!

We are honoured and humbled that we had the opportunity to take a decision on the historic in… https://t.co/b5io3aG5fs",140,1014517413776199681,2018-07-04 14:32:54,Twitter Web Client,19307,5109
Strengthening India’s higher education sector. https://t.co/bXYsZAboIx,70,1014517151854575617,2018-07-04 14:31:52,Twitter Web Client,10215,2136
Congratulations to the people of Tripura! Their long pending demand was fulfilled today. https://t.co/P1ebzWl7zU,112,1014517090261168128,2018-07-04 14:31:37,Twitter Web Client,11888,2790
Great interaction with young IAS officers who have recently been appointed Assistant Secretaries in the Government… https://t.co/UewAES5iwg,139,1014516811541372928,2018-07-04 14:30:31,Twitter Web Client,6097,1603
"मिट्टी के स्वास्थ्य से लेकर सिंचाई तक, आसानी से ऋण उपलब्ध कराने से लेकर फसल बीमा तक, हमारी सरकार कृषि क्षेत्र में ब… https://t.co/SbiJ1JY7YW",140,1014516392417062912,2018-07-04 14:28:51,Twitter Web Client,8360,2127
We are leaving no stone unturned to ensure the wellbeing of our farmers. https://t.co/qLbd71Z7Vm,96,1014516295583191040,2018-07-04 14:28:28,Twitter Web Client,5103,1327
"Well said. I fully agree that when India’s farmer prospers, the nation prospers. https://t.co/ohTd8ylCvZ",104,1014516115790163968,2018-07-04 14:27:45,Twitter Web Client,5699,1374
"कृषि क्षेत्र के विकास और किसान कल्याण के लिए जो भी पहल जरूरी हैं, सरकार उसके लिए प्रतिबद्ध है। हम इस दिशा में लगाता… https://t.co/mDoHugq8dC",140,1014436056257744897,2018-07-04 09:09:37,Twitter for iPhone,23672,5241
"मुझे अत्यंत खुशी हो रही है कि किसान भाइयों-बहनों को सरकार ने लागत के 1.5 गुना MSP देने का जो वादा किया था, आज उसे… https://t.co/WHTpSGhWVW",138,1014435806700867585,2018-07-04 09:08:38,Twitter for iPhone,43527,10965
"Immensely proud of our scientists, who created history by discovering a sub-Saturn size planet 600 light years away… https://t.co/J9ZqAPj857",140,1014167536122974209,2018-07-03 15:22:37,Twitter for iPhone,29034,7437
"In the 2nd part of my interview with @SwarajyaMag, I answered questions on the 2019 polls, role of NDA, situation i… https://t.co/Q5GouClAvf",140,1014052896969838592,2018-07-03 07:47:05,Twitter Web Client,16697,4250
"I spoke to @SwarajyaMag on various issues relating to the Indian economy, GST, jobs, doubling farmer incomes, priva… https://t.co/1MYxuKiv8b",140,1013757380301950976,2018-07-02 12:12:48,Twitter Web Client,18805,5270
My warmest congratulations to Sr. Andrés Manuel @lopezobrador_ on his victory in Presidential elections in Mexico.… https://t.co/mg8yP0yP3m,139,1013757144066240512,2018-07-02 12:11:52,Twitter Web Client,11028,2183
We strongly condemn the terror attacks in Afghanistan yesterday. They are an attack on Afghanistan's multicultural… https://t.co/5vY7VXU4Ga,139,1013610293514170369,2018-07-02 02:28:20,Twitter for iPhone,24034,4742
RT @arunjaitley: THE GST EXPERIENCE https://t.co/VY5eNavDq8,59,1013433818789933056,2018-07-01 14:47:05,Twitter for Android,0,1417
"Chaitali Chauhan shared with me her artwork which is inspired by the Madhubani style, depicting various postures wh… https://t.co/R5gjpMVX9Y",140,1013372345065594880,2018-07-01 10:42:49,Twitter Web Client,19004,3913
I was going through some letters written to me and I saw many letters from the people of Dadra and Nagar Haveli as… https://t.co/WzQUtL5ieX,139,1013371734970560512,2018-07-01 10:40:23,Twitter Web Client,15420,3691
"RT @SwarajyaMag: In the first part of an exclusive interview to Swarajya, the Prime Minister answers key questions on the GST, which comple…",140,1013313617503182853,2018-07-01 06:49:27,Twitter Web Client,0,1961
"GST has brought growth, simplicity and transparency. It is:

Boosting formalisation.

Enhancing productivity.

Furt… https://t.co/JKO1Zlkm4P",140,1013247935201579008,2018-07-01 02:28:27,Twitter Web Client,12515,3794
"I congratulate the people of India on the special occasion of GST completing 1 year. 

A vibrant example of coopera… https://t.co/wzKFGl6EB1",140,1013247281229910016,2018-07-01 02:25:51,Twitter Web Client,12056,3237
"On Doctors' Day, greetings to all hardworking Doctors. Theirs is one of the noblest professions of humanity. It is… https://t.co/kd0MuDrvcm",139,1013246798016770049,2018-07-01 02:23:56,Twitter Web Client,7953,2139
I convey my best wishes to the community of Chartered Accountants on CA Day. Widely recognised for their work and e… https://t.co/fiSP8lyFMu,140,1013246400019206144,2018-07-01 02:22:21,Twitter Web Client,17658,4069
Warm birthday greetings to Vice President @MVenkaiahNaidu Garu. Venkaiah Ji has an exceptional record of public ser… https://t.co/4j9WPUQnGo,140,1013245971533361152,2018-07-01 02:20:39,Twitter Web Client,8162,1824
Congratulations to the wonderful citizens of Mumbai on the inclusion of the Victorian Gothic and Art Deco Ensemble… https://t.co/NTxoMq7CAm,139,1013069251530326016,2018-06-30 14:38:26,Twitter Web Client,10141,2438
RT @IndiaatUNESCO: The 42nd #WorldHeritage Committee of #UNESCO underway in #Manama #Bahrain inscribed #VitorianGothic and #Artdeco Ensembl…,140,1013069122953973765,2018-06-30 14:37:55,Twitter Web Client,0,1036
I would particularly like to congratulate my young friends for their innovative usage of social media. Their frank… https://t.co/yxthRU0klY,139,1012961124248104960,2018-06-30 07:28:46,Twitter Web Client,14656,4505
Greetings on #SocialMediaDay! The world of social media has played a key role in democratising our discourse and gi… https://t.co/H739lIa8bm,140,1012961121039417344,2018-06-30 07:28:45,Twitter Web Client,13906,3617
"Delighted to meet these young members belonging to the team of Mission Shaurya. 

Students from this group successf… https://t.co/7JwHG4YuIV",140,1012734058789572609,2018-06-29 16:26:29,Twitter Web Client,9705,2083
